,fold,n_neighbors,algorithm,value,dataset
171,1,40,pca,0.50625,COIL-20
172,2,40,pca,0.5928571428571429,COIL-20
173,3,40,pca,0.7785714285714286,COIL-20
174,4,40,pca,0.8285714285714286,COIL-20
175,5,40,pca,0.5428571428571428,COIL-20
176,6,40,pca,0.5714285714285714,COIL-20
177,7,40,pca,0.5428571428571428,COIL-20
178,8,40,pca,0.65,COIL-20
179,9,40,pca,0.6928571428571428,COIL-20
180,0,80,pca,0.4125,COIL-20
181,1,80,pca,0.35,COIL-20
182,2,80,pca,0.5928571428571429,COIL-20
183,3,80,pca,0.7285714285714285,COIL-20
184,4,80,pca,0.75,COIL-20
185,5,80,pca,0.4642857142857143,COIL-20
186,6,80,pca,0.4,COIL-20
187,7,80,pca,0.38571428571428573,COIL-20
188,8,80,pca,0.6357142857142857,COIL-20
189,9,80,pca,0.5928571428571429,COIL-20
190,0,160,pca,0.34375,COIL-20
191,1,160,pca,0.3,COIL-20
192,2,160,pca,0.4357142857142857,COIL-20
193,3,160,pca,0.42857142857142855,COIL-20
194,4,160,pca,0.4,COIL-20
195,5,160,pca,0.32857142857142857,COIL-20
196,6,160,pca,0.30714285714285716,COIL-20
197,7,160,pca,0.38571428571428573,COIL-20
198,8,160,pca,0.45714285714285713,COIL-20
199,9,160,pca,0.36428571428571427,COIL-20
200,0,10,tsne,0.975,COIL-20
201,1,10,tsne,0.875,COIL-20
202,2,10,tsne,0.9714285714285714,COIL-20
203,3,10,tsne,0.9571428571428572,COIL-20
204,4,10,tsne,0.9785714285714285,COIL-20
205,5,10,tsne,0.9785714285714285,COIL-20
206,6,10,tsne,0.8071428571428572,COIL-20
207,7,10,tsne,0.8928571428571429,COIL-20
208,8,10,tsne,0.9571428571428572,COIL-20
209,9,10,tsne,0.95,COIL-20
210,0,20,tsne,0.8875,COIL-20
211,1,20,tsne,0.825,COIL-20
212,2,20,tsne,0.9357142857142857,COIL-20
213,3,20,tsne,0.9642857142857143,COIL-20
214,4,20,tsne,0.9571428571428572,COIL-20
215,5,20,tsne,0.9642857142857143,COIL-20
216,6,20,tsne,0.7642857142857142,COIL-20
217,7,20,tsne,0.8642857142857143,COIL-20
218,8,20,tsne,0.9214285714285714,COIL-20
219,9,20,tsne,0.9285714285714286,COIL-20
220,0,40,tsne,0.84375,COIL-20
221,1,40,tsne,0.8,COIL-20
222,2,40,tsne,0.9,COIL-20
223,3,40,tsne,0.95,COIL-20
