,fold,n_neighbors,algorithm,value,dataset
172,2,3200,lvis,0.8555670458462599,Shuttle
173,3,3200,lvis,0.8553448275862069,Shuttle
174,4,3200,lvis,0.8456896551724138,Shuttle
175,5,3200,lvis,0.8501724137931035,Shuttle
176,6,3200,lvis,0.8522158992929816,Shuttle
177,7,3200,lvis,0.8435667471541911,Shuttle
178,8,3200,lvis,0.8478785788202828,Shuttle
179,9,3200,lvis,0.8496033114867195,Shuttle
180,0,100,pca,0.8235395485093917,Shuttle
181,1,100,pca,0.8310927266459841,Shuttle
182,2,100,pca,0.8398827990348156,Shuttle
183,3,100,pca,0.8303448275862069,Shuttle
184,4,100,pca,0.833103448275862,Shuttle
185,5,100,pca,0.8355172413793104,Shuttle
186,6,100,pca,0.8437661665804449,Shuttle
187,7,100,pca,0.8239047947568127,Shuttle
188,8,100,pca,0.8294239392894102,Shuttle
189,9,100,pca,0.8356329768885823,Shuttle
190,0,200,pca,0.8185421333792866,Shuttle
191,1,200,pca,0.8212685280937607,Shuttle
192,2,200,pca,0.8214408824543261,Shuttle
193,3,200,pca,0.8175862068965517,Shuttle
194,4,200,pca,0.8234482758620689,Shuttle
195,5,200,pca,0.8220689655172414,Shuttle
196,6,200,pca,0.8287635799275738,Shuttle
197,7,200,pca,0.8152811314246292,Shuttle
198,8,200,pca,0.8197654363573647,Shuttle
199,9,200,pca,0.820110382890652,Shuttle
200,0,400,pca,0.8137170429088403,Shuttle
201,1,400,pca,0.8147190623922785,Shuttle
202,2,400,pca,0.8160978972768012,Shuttle
203,3,400,pca,0.8087931034482758,Shuttle
204,4,400,pca,0.8167241379310345,Shuttle
205,5,400,pca,0.8134482758620689,Shuttle
206,6,400,pca,0.8220382824624936,Shuttle
207,7,400,pca,0.8113142462918248,Shuttle
208,8,400,pca,0.8156260779579165,Shuttle
209,9,400,pca,0.8142462918247672,Shuttle
210,0,800,pca,0.8042391866276064,Shuttle
211,1,800,pca,0.8011030679076181,Shuttle
212,2,800,pca,0.8042054463977939,Shuttle
213,3,800,pca,0.8051724137931034,Shuttle
214,4,800,pca,0.8070689655172414,Shuttle
215,5,800,pca,0.8048275862068965,Shuttle
216,6,800,pca,0.8056561476116572,Shuttle
217,7,800,pca,0.8023456364263539,Shuttle
218,8,800,pca,0.8037254225595033,Shuttle
219,9,800,pca,0.803380476026216,Shuttle
220,0,1600,pca,0.7920041357918318,Shuttle
221,1,1600,pca,0.7902447431920028,Shuttle
222,2,1600,pca,0.7917959324370907,Shuttle
223,3,1600,pca,0.7915517241379311,Shuttle
224,4,1600,pca,0.7939655172413793,Shuttle
225,5,1600,pca,0.7913793103448276,Shuttle
226,6,1600,pca,0.7911708915330229,Shuttle
